Date,"Weekly Chicago, IL Regular Reformulated Retail Gasoline Prices  (Dollars per Gallon)"
5/2/2022,4.467
5/9/2022,4.672
5/16/2022,4.929
5/23/2022,5.133
5/30/2022,5.264
6/6/2022,5.579
6/13/2022,5.803
6/20/2022,5.742
6/27/2022,5.647
7/4/2022,5.536
7/11/2022,5.372
7/18/2022,5.238
7/25/2022,5.046
8/1/2022,4.854
8/8/2022,4.659
8/15/2022,4.499
8/22/2022,4.459
8/29/2022,4.373
9/5/2022,4.32
9/12/2022,4.212
9/19/2022,4.076
9/26/2022,4.1
10/3/2022,4.248
10/10/2022,4.558
10/17/2022,4.462
10/24/2022,4.36
10/31/2022,4.266
11/7/2022,4.482
11/14/2022,4.264
11/21/2022,4.08
11/28/2022,3.899
12/5/2022,3.659
12/12/2022,3.469
12/19/2022,3.334
12/26/2022,3.251
1/2/2023,3.295
1/9/2023,3.421
1/16/2023,3.563
1/23/2023,3.548
1/30/2023,3.739
2/6/2023,3.654
2/13/2023,3.594
2/20/2023,3.511
2/27/2023,3.541
3/6/2023,3.553
3/13/2023,3.653
3/20/2023,3.623
3/27/2023,3.718
4/3/2023,3.922
4/10/2023,4.044
4/17/2023,4.172
4/24/2023,4.185
5/1/2023,4.174
5/8/2023,4.1
5/15/2023,4.054
5/22/2023,4.101
5/29/2023,4.125
6/5/2023,4.046
6/12/2023,4.187
6/19/2023,4.301
6/26/2023,4.191
7/3/2023,4.046
7/10/2023,3.975
7/17/2023,4.009
7/24/2023,3.96
7/31/2023,4.132
8/7/2023,4.202
8/14/2023,4.404
8/21/2023,4.34
8/28/2023,4.272
9/4/2023,4.189
9/11/2023,4.108
9/18/2023,4.068
9/25/2023,3.962
10/2/2023,3.814
